"Recently Viewed Products","Artículos vistos recientemente"
"List of Products Recently Viewed by Visitor","Lista de artículos recientemente examinados por el visitante"
"Number of Products to display","Número de artículos, que estan mostrados"
"Viewed Products Grid Template","Ver plantilla de cuadrícula de artículos vistos"
"Viewed Products List Template","Ver plantilla de lista de artículos vistos"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Productos Comparados Recientemente"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de artículos comparada y eliminada recientemente de la lista de comparación por el visitante"
"Compared Products Grid Template","Comparados artículos - Plantilla cuadrícula"
"Compared Products List Template","Comparados artículos - Plantilla lista"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"Average","Promedio"
"Stock Quantity","Stock Quantity"
"Ordered Quantity","Ordered Quantity"
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone."
"Guest","Visitante"
"Action","Acción"
"Average (Approved)","Average (Approved)"
"Last Review","Última revisión"
"Order Created","Order Created"
"Order Updated","Order Updated"
"The Order Updated report is created in real time and does not require a refresh.","The Order Updated report is created in real time and does not require a refresh."
"Last Invoice Created Date","Fecha de Creación ultima factura"
"Last Credit Memo Created Date","Fecha de creación ultima nota de crédito"
"First Invoice Created Date","Fecha de Creación de la primera factura"
"Refresh Lifetime Statistics","Actualiza estadísticas del ciclo total"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience."
"Refresh Statistics for the Last Day","Actualizar estadísticas del último día"
"Are you sure you want to refresh statistics for the last day?","Are you sure you want to refresh statistics for the last day?"
"Report","Informe"
"Description","Descripción"
"undefined","no definido"
