"Document is not saved due to error.","No se ha guardado el documento debido a un error."
"More than one node matching the query: %1","More than one node matching the query: %1"
"Invalid XML in file %1:
%2","Invalid XML in file %1:
%2"
"Invalid Document 
%1","Invalid Document 
%1"
