"Page not found.","Página no encontrada."
"Feed","Feed"
"Miscellaneous Feeds","Fuentes varias"
"Get Feed","Obtener fuente"
"RSS Feeds","Fuentes RSS"
"Rss Config","Configuración de RSS"
"Enable RSS","Activar RSS"
