"Format for IDE '%1' is not supported","Formato para IDE '%1' no es compatible"
"Client side less compilation","Client side less compilation"
"Server side less compilation","Server side less compilation"
"Front-end development workflow","Front-end development workflow"
"Workflow type","Workflow type"
"Not available in production mode","Not available in production mode"
"Developer Client Restrictions","Desarrolo Restricciones del cliente"
"Allowed IPs (comma separated)","IP permitidas (separadas por comas)"
"Leave empty for access from any location.","Dejar en blanco para acceder desde cualquier lugar."
